,Country Name,Indicator Name,Year,Value
0,Agriculture,Total employed (in persons X 1000),2013,121.1
1,Agriculture,Total employed (in persons X 1000),2014,123.2
2,Agriculture,Total employed (in persons X 1000),2015,117.2
3,Agriculture,Total employed (in persons X 1000),2016,117.6
4,Agriculture,Total employed (in persons X 1000),2017,111.7
5,Agriculture,Total employed (in persons X 1000),2018,117.9
6,"Forestry, fishing, mining, quarrying, oil and gas",Total employed (in persons X 1000),2013,322.7
7,"Forestry, fishing, mining, quarrying, oil and gas",Total employed (in persons X 1000),2014,334.2
8,"Forestry, fishing, mining, quarrying, oil and gas",Total employed (in persons X 1000),2015,317.2
9,"Forestry, fishing, mining, quarrying, oil and gas",Total employed (in persons X 1000),2016,288.7
10,"Forestry, fishing, mining, quarrying, oil and gas",Total employed (in persons X 1000),2017,291.4
11,"Forestry, fishing, mining, quarrying, oil and gas",Total employed (in persons X 1000),2018,302.5
12,Utilities,Total employed (in persons X 1000),2013,134.5
13,Utilities,Total employed (in persons X 1000),2014,136.4
14,Utilities,Total employed (in persons X 1000),2015,136.9
15,Utilities,Total employed (in persons X 1000),2016,137.2
16,Utilities,Total employed (in persons X 1000),2017,132.5
17,Utilities,Total employed (in persons X 1000),2018,144.5
18,Construction,Total employed (in persons X 1000),2013,982
19,Construction,Total employed (in persons X 1000),2014,980.3
20,Construction,Total employed (in persons X 1000),2015,971.7
21,Construction,Total employed (in persons X 1000),2016,983.4
22,Construction,Total employed (in persons X 1000),2017,"1,020.00"
23,Construction,Total employed (in persons X 1000),2018,"1,046.00"
24,Manufacturing,Total employed (in persons X 1000),2013,"1,647.50"
25,Manufacturing,Total employed (in persons X 1000),2014,"1,632.30"
26,Manufacturing,Total employed (in persons X 1000),2015,"1,638.70"
27,Manufacturing,Total employed (in persons X 1000),2016,"1,613.30"
28,Manufacturing,Total employed (in persons X 1000),2017,"1,641.00"
29,Manufacturing,Total employed (in persons X 1000),2018,"1,651.90"
30,Wholesale and retail trade,Total employed (in persons X 1000),2013,"2,443.80"
31,Wholesale and retail trade,Total employed (in persons X 1000),2014,"2,460.90"
32,Wholesale and retail trade,Total employed (in persons X 1000),2015,"2,467.80"
33,Wholesale and retail trade,Total employed (in persons X 1000),2016,"2,477.50"
34,Wholesale and retail trade,Total employed (in persons X 1000),2017,"2,548.50"
35,Wholesale and retail trade,Total employed (in persons X 1000),2018,"2,534.90"
36,Transportation and warehousing,Total employed (in persons X 1000),2013,730.8
37,Transportation and warehousing,Total employed (in persons X 1000),2014,734.8
38,Transportation and warehousing,Total employed (in persons X 1000),2015,751.3
39,Transportation and warehousing,Total employed (in persons X 1000),2016,742.1
40,Transportation and warehousing,Total employed (in persons X 1000),2017,773.7
41,Transportation and warehousing,Total employed (in persons X 1000),2018,809.7
42,"Finance, insurance, real estate, rental and leasing",Total employed (in persons X 1000),2013,873.9
43,"Finance, insurance, real estate, rental and leasing",Total employed (in persons X 1000),2014,890.2
44,"Finance, insurance, real estate, rental and leasing",Total employed (in persons X 1000),2015,900.2
45,"Finance, insurance, real estate, rental and leasing",Total employed (in persons X 1000),2016,924.4
46,"Finance, insurance, real estate, rental and leasing",Total employed (in persons X 1000),2017,954.4
47,"Finance, insurance, real estate, rental and leasing",Total employed (in persons X 1000),2018,955.8
48,"Professional, scientific and technical services",Total employed (in persons X 1000),2013,875
49,"Professional, scientific and technical services",Total employed (in persons X 1000),2014,888
50,"Professional, scientific and technical services",Total employed (in persons X 1000),2015,913.1
51,"Professional, scientific and technical services",Total employed (in persons X 1000),2016,955.6
52,"Professional, scientific and technical services",Total employed (in persons X 1000),2017,988.7
53,"Professional, scientific and technical services",Total employed (in persons X 1000),2018,"1,001.90"
54,"Business, building and other support services 8",Total employed (in persons X 1000),2013,560.4
55,"Business, building and other support services 9",Total employed (in persons X 1000),2014,555.3
56,"Business, building and other support services 10",Total employed (in persons X 1000),2015,578.9
57,"Business, building and other support services 11",Total employed (in persons X 1000),2016,577.8
58,"Business, building and other support services 12",Total employed (in persons X 1000),2017,577.9
59,"Business, building and other support services 13",Total employed (in persons X 1000),2018,578.3
60,Educational services,Total employed (in persons X 1000),2013,"1,164.00"
61,Educational services,Total employed (in persons X 1000),2014,"1,165.00"
62,Educational services,Total employed (in persons X 1000),2015,"1,210.60"
63,Educational services,Total employed (in persons X 1000),2016,"1,205.50"
64,Educational services,Total employed (in persons X 1000),2017,"1,208.90"
65,Educational services,Total employed (in persons X 1000),2018,"1,242.40"
66,Health care and social assistance,Total employed (in persons X 1000),2013,"1,926.10"
67,Health care and social assistance,Total employed (in persons X 1000),2014,"1,953.50"
68,Health care and social assistance,Total employed (in persons X 1000),2015,"2,002.90"
69,Health care and social assistance,Total employed (in persons X 1000),2016,"2,043.60"
70,Health care and social assistance,Total employed (in persons X 1000),2017,"2,065.30"
71,Health care and social assistance,Total employed (in persons X 1000),2018,"2,091.60"
72,"Information, culture and recreation",Total employed (in persons X 1000),2013,627.9
73,"Information, culture and recreation",Total employed (in persons X 1000),2014,631.5
74,"Information, culture and recreation",Total employed (in persons X 1000),2015,625.2
75,"Information, culture and recreation",Total employed (in persons X 1000),2016,650.1
76,"Information, culture and recreation",Total employed (in persons X 1000),2017,655.5
77,"Information, culture and recreation",Total employed (in persons X 1000),2018,651.8
